Batch [227/500], Time 0.07534193992614746
Batch [228/500], Time 0.02353835105895996
Batch [229/500], Time 0.030592679977416992
Batch [230/500], Time 0.03289651870727539
Batch [231/500], Time 0.03717398643493652
Batch [232/500], Time 0.022331953048706055
Batch [233/500], Time 0.0226132869720459
Batch [234/500], Time 0.022082090377807617
Batch [235/500], Time 0.05235719680786133
Batch [236/500], Time 0.08330082893371582
Batch [237/500], Time 0.09230470657348633
Batch [238/500], Time 0.03080010414123535
Batch [239/500], Time 0.050628662109375
Batch [240/500], Time 0.025068283081054688
Batch [241/500], Time 0.02252483367919922
Batch [242/500], Time 0.022266387939453125
Batch [243/500], Time 0.06201887130737305
Batch [244/500], Time 0.05296897888183594
Batch [245/500], Time 0.07294797897338867
Batch [246/500], Time 0.06860828399658203
Batch [247/500], Time 0.030138015747070312
Batch [248/500], Time 0.05119943618774414
Batch [249/500], Time 0.026884794235229492
Batch [250/500], Time 0.022743701934814453
Batch [251/500], Time 0.025737524032592773
Batch [252/500], Time 0.023886680603027344
Batch [253/500], Time 0.023960590362548828
Batch [254/500], Time 0.027415752410888672
Batch [255/500], Time 0.024477005004882812
Batch [256/500], Time 0.024381637573242188
Batch [257/500], Time 0.057799339294433594
Batch [258/500], Time 0.049027204513549805
Batch [259/500], Time 0.06192660331726074
Batch [260/500], Time 0.0650029182434082
Batch [261/500], Time 0.06303668022155762
Batch [262/500], Time 0.02406454086303711
Batch [263/500], Time 0.021712303161621094
Batch [264/500], Time 0.021805763244628906
Batch [265/500], Time 0.02518463134765625
Batch [266/500], Time 0.02213263511657715
Batch [267/500], Time 0.028890132904052734
Batch [268/500], Time 0.03161191940307617
Batch [269/500], Time 0.053560733795166016
Batch [270/500], Time 0.061409711837768555
Batch [271/500], Time 0.05908942222595215
Batch [272/500], Time 0.05872082710266113
Batch [273/500], Time 0.03366494178771973
Batch [274/500], Time 0.050313472747802734
Batch [275/500], Time 0.03740811347961426
Batch [276/500], Time 0.0322270393371582
Batch [277/500], Time 0.04913759231567383
Batch [278/500], Time 0.02934432029724121
Batch [279/500], Time 0.02204585075378418
Batch [280/500], Time 0.05651068687438965
Batch [281/500], Time 0.03237032890319824
Batch [282/500], Time 0.05671501159667969
Batch [283/500], Time 0.02845931053161621
Batch [284/500], Time 0.03842926025390625
Batch [285/500], Time 0.04117465019226074
Batch [286/500], Time 0.021425724029541016
Batch [287/500], Time 0.03276634216308594
Batch [288/500], Time 0.060352325439453125
Batch [289/500], Time 0.0787973403930664
Batch [290/500], Time 0.02484893798828125
Batch [291/500], Time 0.021767377853393555
Batch [292/500], Time 0.03378629684448242
Batch [293/500], Time 0.027098417282104492
Batch [294/500], Time 0.022411584854125977
Batch [295/500], Time 0.055599212646484375
Batch [296/500], Time 0.07230544090270996
Batch [297/500], Time 0.02411627769470215
Batch [298/500], Time 0.06183314323425293
Batch [299/500], Time 0.021749496459960938
Batch [300/500], Time 0.02278876304626465
Batch [301/500], Time 0.05565524101257324
Batch [302/500], Time 0.028669118881225586
Batch [303/500], Time 0.0216367244720459
Batch [304/500], Time 0.021939754486083984
Batch [305/500], Time 0.056879281997680664
Batch [306/500], Time 0.02202463150024414
Batch [307/500], Time 0.053524017333984375
Batch [308/500], Time 0.028345108032226562
Batch [309/500], Time 0.06485772132873535
Batch [310/500], Time 0.05110597610473633
Batch [311/500], Time 0.05787324905395508
Batch [312/500], Time 0.026613950729370117
Batch [313/500], Time 0.05646347999572754
Batch [314/500], Time 0.05956125259399414
Batch [315/500], Time 0.03325247764587402
Batch [316/500], Time 0.021903276443481445
Batch [317/500], Time 0.05717110633850098
Batch [318/500], Time 0.06102275848388672
Batch [319/500], Time 0.022406339645385742
Batch [320/500], Time 0.023581504821777344
Batch [321/500], Time 0.02309417724609375
Batch [322/500], Time 0.026394367218017578
Batch [323/500], Time 0.021715641021728516
Batch [324/500], Time 0.05373048782348633
Batch [325/500], Time 0.06049394607543945
Batch [326/500], Time 0.06588482856750488
Batch [327/500], Time 0.06091666221618652
Batch [328/500], Time 0.0217435359954834
Batch [329/500], Time 0.024342060089111328
Batch [330/500], Time 0.03957986831665039
Batch [331/500], Time 0.05273294448852539
Batch [332/500], Time 0.02169179916381836
Batch [333/500], Time 0.022127389907836914
Batch [334/500], Time 0.021793127059936523
Batch [335/500], Time 0.024230003356933594
Batch [336/500], Time 0.03202104568481445
Batch [337/500], Time 0.06639862060546875
Batch [338/500], Time 0.027027130126953125
Batch [339/500], Time 0.052706241607666016
Batch [340/500], Time 0.0617067813873291
Batch [341/500], Time 0.05735063552856445
Batch [342/500], Time 0.03565573692321777
Batch [343/500], Time 0.06332159042358398
Batch [344/500], Time 0.02157902717590332
Batch [345/500], Time 0.021989822387695312
Batch [346/500], Time 0.022594451904296875
Batch [347/500], Time 0.04052591323852539
Batch [348/500], Time 0.03210735321044922
Batch [349/500], Time 0.07131314277648926
Batch [350/500], Time 0.032315731048583984
Batch [351/500], Time 0.0232851505279541
Batch [352/500], Time 0.02329397201538086
Batch [353/500], Time 0.02606940269470215
Batch [354/500], Time 0.05422472953796387
Batch [355/500], Time 0.06296730041503906
Batch [356/500], Time 0.022247791290283203
Batch [357/500], Time 0.03640484809875488
Batch [358/500], Time 0.05364060401916504
Batch [359/500], Time 0.0436863899230957
Batch [360/500], Time 0.032117366790771484
Batch [361/500], Time 0.02295374870300293
Batch [362/500], Time 0.0696723461151123
Batch [363/500], Time 0.022304058074951172
Batch [364/500], Time 0.05707716941833496
Batch [365/500], Time 0.028140544891357422
Batch [366/500], Time 0.05917549133300781
Batch [367/500], Time 0.028828144073486328
Batch [368/500], Time 0.03045654296875
Batch [369/500], Time 0.047673702239990234
Batch [370/500], Time 0.0658566951751709
Batch [371/500], Time 0.0587613582611084
Batch [372/500], Time 0.022119522094726562
Batch [373/500], Time 0.02231121063232422
Batch [374/500], Time 0.056246280670166016
